index,North,South,West,East,ND,SD,WD,ED
1,,,7,,,,3,
2,,3,8,,,3,3,
3,2,,9,,3,,3,
4,,,10,,,,3,
5,,,11,,,,3,
6,,,12,,,,3,
7,,,13,1,,,3,3
8,,9,14,2,,3,3,3
9,8,,15,3,3,,3,3
10,,,16,4,,,3,3
11,,12,17,5,,3,3,3
12,11,,18,6,3,,3,3
13,,14,19,7,,3,3,3
14,13,15,20,8,3,3,3,3
15,14,16,,9,3,3,,3
16,15,17,22,10,3,3,3,3
17,16,18,,11,3,3,,3
18,17,,24,12,3,,3,3
19,,,,13,,,,3
20,,21,26,14,,3,3,3
21,20,,,,3,,,
22,,23,28,16,,4,3,3
23,22,,,,4,,,
24,,,30,18,,,3,3
25,,26,31,,,3,3,
26,25,27,,20,3,3,,3
27,26,,,,3,,,
28,,29,34,22,,3,3,3
29,28,30,,,3,3,,
30,29,,36,24,3,,3,3
31,,,37,25,,,3,3
32,,,38,,,,3,
33,,,39,,,,3,
34,,35,40,28,,3,3,3
35,34,,41,,3,,3,
36,,,,30,,,,3
37,,,43,31,,,3,3
38,,39,44,32,,3,3,3
39,38,,,33,3,,,3
40,,,46,34,,,3,3
41,,42,,35,,3,,3
42,41,,48,,3,,3,
43,,44,,37,,3,,3
44,43,45,,38,3,3,,3
45,44,46,,,3,3,,
46,45,47,,40,3,3,,3
47,46,,,,3,,,
48,,,,42,,,,3
